;track;artist;genre;time;date.entered;date.peaked;Week;Ranking;New_time;timedelta;entered_to_datetime;peaked_to_datetime
877;Breathe And Stop;Q-Tip;Rock;4:06;2000-01-22;2000-01-22;3;81;0:4:06;0 days 00:04:06.000000000;2000-01-22;2000-01-22
878;Can't Fight The Moonlight;Rimes, LeAnn;Country;3:33;2000-09-09;2000-09-16;3;79;0:3:33;0 days 00:03:33.000000000;2000-09-09;2000-09-16
879;Tha Block Is Hot;Lil Wayne;Rap;4:13;1999-12-04;2000-01-08;3;92;0:4:13;0 days 00:04:13.000000000;1999-12-04;2000-01-08
880;Baby Don't Cry (Keep Ya Head Up II);2 Pac;Rap;4:22;2000-02-26;2000-03-11;3;72;0:4:22;0 days 00:04:22.000000000;2000-02-26;2000-03-11
881;Sleepwalker;Wallflowers, The;Rock;3:29;2000-10-28;2000-10-28;3;74;0:3:29;0 days 00:03:29.000000000;2000-10-28;2000-10-28
882;Left, Right, Left;Drama;Rap;3:37;2000-02-12;2000-03-18;3;89;0:3:37;0 days 00:03:37.000000000;2000-02-12;2000-03-18
883;N 2 Gether Now;Limp Bizkit;Rock;3:55;1999-12-04;2000-01-08;3;85;0:3:55;0 days 00:03:55.000000000;1999-12-04;2000-01-08
884;Ryde or Die, Chick;Lox;Rap;3:56;2000-03-18;2000-03-25;3;80;0:3:56;0 days 00:03:56.000000000;2000-03-18;2000-03-25
885;Whistle While You Twurk;Ying Yang Twins;Rap;4:19;2000-03-18;2000-04-29;3;91;0:4:19;0 days 00:04:19.000000000;2000-03-18;2000-04-29
886;Live, Laugh, Love;Walker, Clay;Country;4:06;1999-12-04;2000-01-22;3;94;0:4:06;0 days 00:04:06.000000000;1999-12-04;2000-01-22
887;No Leaf Clover (Live);Metallica;Rock;5:43;2000-02-12;2000-03-11;3;78;0:5:43;0 days 00:05:43.000000000;2000-02-12;2000-03-11
888;Another Nine Minutes;Yankee Grey;Country;3:10;2000-04-29;2000-05-20;3;77;0:3:10;0 days 00:03:10.000000000;2000-04-29;2000-05-20
889;Tricky Tricky ;Bega, Lou;Rock;3:23;2000-01-29;2000-02-05;3;87;0:3:23;0 days 00:03:23.000000000;2000-01-29;2000-02-05
890;It's So Hard;Big Punisher;Rap;3:25;2000-04-22;2000-05-06;3;75;0:3:25;0 days 00:03:25.000000000;2000-04-22;2000-05-06
891;When You Need My Love;Worley, Darryl;Country;3:35;2000-06-17;2000-09-02;3;93;0:3:35;0 days 00:03:35.000000000;2000-06-17;2000-09-02
892;How Many Licks?;Lil' Kim;Rap;3:50;2000-11-25;2000-12-02;3;77;0:3:50;0 days 00:03:50.000000000;2000-11-25;2000-12-02
893;A Little Gasoline;Clark, Terri;Country;3:07;2000-12-16;2000-12-16;3;88;0:3:07;0 days 00:03:07.000000000;2000-12-16;2000-12-16
894;A Country Boy Can Survive;Brock, Chad;Country;3:54;2000-01-01;2000-01-08;3;92;0:3:54;0 days 00:03:54.000000000;2000-01-01;2000-01-08
895;My Love Goes On And On;Cagle, Chris;Country;3:02;2000-10-21;2000-12-02;3;94;0:3:02;0 days 00:03:02.000000000;2000-10-21;2000-12-02
896;Put Your Hand In Mine;Byrd, Tracy;Country;4:30;2000-01-29;2000-02-12;3;76;0:4:30;0 days 00:04:30.000000000;2000-01-29;2000-02-12
897;I Disappear;Metallica;Rock;4:26;2000-05-13;2000-06-17;3;88;0:4:26;0 days 00:04:26.000000000;2000-05-13;2000-06-17
898;Hey Papi;Jay-Z;Rap;3:40;2000-08-12;2000-10-07;3;98;0:3:40;0 days 00:03:40.000000000;2000-08-12;2000-10-07
899;The Rockafeller Skank;Fatboy Slim;Electronica;4:00;1999-11-13;2000-01-22;3;94;0:4:00;0 days 00:04:00.000000000;1999-11-13;2000-01-22
900;Mr. Too Damn Good;Levert, Gerald;R&B;4:06;2000-03-18;2000-04-08;3;83;0:4:06;0 days 00:04:06.000000000;2000-03-18;2000-04-08
901;Stay Or Let It Go;McKnight, Brian;Rock;4:32;2000-02-26;2000-03-25;3;82;0:4:32;0 days 00:04:32.000000000;2000-02-26;2000-03-25
902;Smoke Rings In The Dark;Allan, Gary;Country;4:18;2000-01-22;2000-02-05;3;76;0:4:18;0 days 00:04:18.000000000;2000-01-22;2000-02-05
903;The Best Man I Can Be;Ginuwine;Rock;4:06;2000-01-08;2000-03-04;3;83;0:4:06;0 days 00:04:06.000000000;2000-01-08;2000-03-04
904;Monica;Before Dark;Rock;4:04;2000-05-20;2000-06-17;3;80;0:4:04;0 days 00:04:04.000000000;2000-05-20;2000-06-17
906;Sour Girl;Stone Temple Pilots;Rock;4:16;2000-07-08;2000-07-29;3;79;0:4:16;0 days 00:04:16.000000000;2000-07-08;2000-07-29
907;Daddy Won't Sell The Farm;Montgomery Gentry;Country;4:18;2000-03-04;2000-03-25;3;81;0:4:18;0 days 00:04:18.000000000;2000-03-04;2000-03-25
908;You Won't Be Lonely Now;Cyrus, Billy Ray;Country;3:45;2000-09-23;2000-11-11;3;97;0:3:45;0 days 00:03:45.000000000;2000-09-23;2000-11-11
909;Meanwhile Back At The Ranch;Clark Family Experience;Country;2:56;2000-11-18;2000-12-16;3;81;0:2:56;0 days 00:02:56.000000000;2000-11-18;2000-12-16
910;Summer Rain;Thomas, Carl;Rock;4:57;2000-09-23;2000-10-14;3;86;0:4:57;0 days 00:04:57.000000000;2000-09-23;2000-10-14
911;Real Live Woman;Yearwood, Trisha;Country;3:55;2000-04-01;2000-04-29;3;83;0:3:55;0 days 00:03:55.000000000;2000-04-01;2000-04-29
912;Shut Up;Trick Daddy;Rap;4:17;2000-05-20;2000-06-17;3;87;0:4:17;0 days 00:04:17.000000000;2000-05-20;2000-06-17
913;Straight Up;Moore, Chante;Rock;3:40;2000-10-28;2000-12-02;3;97;0:3:40;0 days 00:03:40.000000000;2000-10-28;2000-12-02
914;What Means The World To You;Cam'ron;Rap;4:38;2000-10-14;2000-11-18;3;96;0:4:38;0 days 00:04:38.000000000;2000-10-14;2000-11-18
915;U Understand;Juvenile;Rap;3:51;2000-02-05;2000-02-12;3;100;0:3:51;0 days 00:03:51.000000000;2000-02-05;2000-02-12
916;Can't Stay;Hollister, Dave;Rock;6:17;2000-03-25;2000-03-25;3;93;0:6:17;0 days 00:06:17.000000000;2000-03-25;2000-03-25
917;Can't Go For That;Tamia;Rock;3:38;2000-09-16;2000-09-30;3;84;0:3:38;0 days 00:03:38.000000000;2000-09-16;2000-09-30
918;West Side Story;LFO;Rock;3:27;2000-08-05;2000-08-12;3;88;0:3:27;0 days 00:03:27.000000000;2000-08-05;2000-08-12
919;Me Neither;Paisley, Brad;Country;3:19;2000-05-13;2000-05-20;3;90;0:3:19;0 days 00:03:19.000000000;2000-05-13;2000-05-20
920;Take That;Carter, Torrey;Rock;3:43;2000-06-24;2000-07-08;3;86;0:3:43;0 days 00:03:43.000000000;2000-06-24;2000-07-08
921;The Hardest Part Of Breaking Up (Is Getting Back Your Stuff);2Ge+her;R&B;3:15;2000-09-02;2000-09-09;3;92;0:3:15;0 days 00:03:15.000000000;2000-09-02;2000-09-09
922;Don't Call Me Baby;Madison Avenue;Electronica;3:44;2000-07-08;2000-09-16;3;93;0:3:44;0 days 00:03:44.000000000;2000-07-08;2000-09-16
923;Got It All;Eve;Rap;3:48;2000-07-15;2000-07-22;3;88;0:3:48;0 days 00:03:48.000000000;2000-07-15;2000-07-22
924;Re-Arranged;Limp Bizkit;Rock;4:08;1999-12-04;2000-02-05;3;90;0:4:08;0 days 00:04:08.000000000;1999-12-04;2000-02-05
925;Still In My Heart;Spencer, Tracie;Rock;4:11;2000-03-04;2000-03-11;3;98;0:4:11;0 days 00:04:11.000000000;2000-03-04;2000-03-11
926;3 Little Words;Nu Flavor;R&B;3:54;2000-06-03;2000-06-17;3;89;0:3:54;0 days 00:03:54.000000000;2000-06-03;2000-06-17
927;If You Don't Wanna Love Me;Tamar;Rock;4:02;2000-03-25;2000-04-15;3;92;0:4:02;0 days 00:04:02.000000000;2000-03-25;2000-04-15
928;Baby U Are;Levert, Gerald;R&B;4:10;2000-08-19;2000-08-26;3;92;0:4:10;0 days 00:04:10.000000000;2000-08-19;2000-08-26
929;L.A. Song;Hart, Beth;Country;3:47;1999-11-27;2000-01-15;3;98;0:3:47;0 days 00:03:47.000000000;1999-11-27;2000-01-15
930;The Quittin' Kind;Diffie, Joe;Country;3:23;2000-01-01;2000-01-22;3;100;0:3:23;0 days 00:03:23.000000000;2000-01-01;2000-01-22
931;Do You;Funkmaster Flex;Rap;4:14;2000-11-11;2000-12-02;3;95;0:4:14;0 days 00:04:14.000000000;2000-11-11;2000-12-02
932;Love Sets You Free;Price, Kelly;Rock;3:46;2000-05-13;2000-05-20;3;98;0:3:46;0 days 00:03:46.000000000;2000-05-13;2000-05-20
933;Riddle;En Vogue;Rock;5:10;2000-06-17;2000-06-17;3;97;0:5:10;0 days 00:05:10.000000000;2000-06-17;2000-06-17
934;No Mercy;Herndon, Ty;Country;4:43;2000-03-18;2000-05-06;3;99;0:4:43;0 days 00:04:43.000000000;2000-03-18;2000-05-06
936;Pull Over;Trina;Rap;2:58;2000-09-09;2000-09-16;3;96;0:2:58;0 days 00:02:58.000000000;2000-09-09;2000-09-16
937;Ta Da;Lil' Mo;Rap;4:17;2000-08-12;2000-09-16;3;97;0:4:17;0 days 00:04:17.000000000;2000-08-12;2000-09-16
938;Dancing Queen;A*Teens;Pop;3:44;2000-07-08;2000-07-29;3;96;0:3:44;0 days 00:03:44.000000000;2000-07-08;2000-07-29
939;Where I Wanna Be;Sheist, Shade;Rap;4:16;2000-11-11;2000-11-18;3;99;0:4:16;0 days 00:04:16.000000000;2000-11-11;2000-11-18
940;All Good?;De La Soul;Rap;5:02;2000-12-23;2000-12-23;3;100;0:5:02;0 days 00:05:02.000000000;2000-12-23;2000-12-23
941;Get Up;Larrieux, Amel;R&B;4:02;2000-03-04;2000-03-11;3;97;0:4:02;0 days 00:04:02.000000000;2000-03-04;2000-03-11
942;Spanish Guitar;Braxton, Toni;Rock;4:24;2000-12-02;2000-12-02;3;98;0:4:24;0 days 00:04:24.000000000;2000-12-02;2000-12-02
947;Freakin' It;Smith, Will;Rap;3:58;2000-02-12;2000-02-12;3;99;0:3:58;0 days 00:03:58.000000000;2000-02-12;2000-02-12
951;Independent Women Part I;Destiny's Child;Rock;3:38;2000-09-23;2000-11-18;4;33;0:3:38;0 days 00:03:38.000000000;2000-09-23;2000-11-18
952;Maria, Maria;Santana;Rock;4:18;2000-02-12;2000-04-08;4;5;0:4:18;0 days 00:04:18.000000000;2000-02-12;2000-04-08
953;I Knew I Loved You;Savage Garden;Rock;4:07;1999-10-23;2000-01-29;4;31;0:4:07;0 days 00:04:07.000000000;1999-10-23;2000-01-29
954;Music;Madonna;Rock;3:45;2000-08-12;2000-09-16;4;14;0:3:45;0 days 00:03:45.000000000;2000-08-12;2000-09-16
955;Come On Over Baby (All I Want Is You);Aguilera, Christina;Rock;3:38;2000-08-05;2000-10-14;4;29;0:3:38;0 days 00:03:38.000000000;2000-08-05;2000-10-14
956;Doesn't Really Matter;Janet;Rock;4:17;2000-06-17;2000-08-26;4;30;0:4:17;0 days 00:04:17.000000000;2000-06-17;2000-08-26
957;Say My Name;Destiny's Child;Rock;4:31;1999-12-25;2000-03-18;4;38;0:4:31;0 days 00:04:31.000000000;1999-12-25;2000-03-18
958;Be With You;Iglesias, Enrique;Latin;3:36;2000-04-01;2000-06-24;4;23;0:3:36;0 days 00:03:36.000000000;2000-04-01;2000-06-24
959;Incomplete;Sisqo;Rock;3:52;2000-06-24;2000-08-12;4;61;0:3:52;0 days 00:03:52.000000000;2000-06-24;2000-08-12
960;Amazed;Lonestar;Country;4:25;1999-06-05;2000-03-04;4;39;0:4:25;0 days 00:04:25.000000000;1999-06-05;2000-03-04
961;It's Gonna Be Me;N'Sync;Rock;3:10;2000-05-06;2000-07-29;4;39;0:3:10;0 days 00:03:10.000000000;2000-05-06;2000-07-29
962;What A Girl Wants;Aguilera, Christina;Rock;3:18;1999-11-27;2000-01-15;4;18;0:3:18;0 days 00:03:18.000000000;1999-11-27;2000-01-15
963;Everything You Want;Vertical Horizon;Rock;4:01;2000-01-22;2000-07-15;4;46;0:4:01;0 days 00:04:01.000000000;2000-01-22;2000-07-15
964;With Arms Wide Open;Creed;Rock;3:52;2000-05-13;2000-11-11;4;74;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-11-11
965;Try Again;Aaliyah;Rock;4:03;2000-03-18;2000-06-17;4;28;0:4:03;0 days 00:04:03.000000000;2000-03-18;2000-06-17
966;Bent;matchbox twenty;Rock;4:12;2000-04-29;2000-07-22;4;24;0:4:12;0 days 00:04:12.000000000;2000-04-29;2000-07-22
967;Thank God I Found You;Carey, Mariah;Rock;4:14;1999-12-11;2000-02-19;4;50;0:4:14;0 days 00:04:14.000000000;1999-12-11;2000-02-19
968;Breathe;Hill, Faith;Rap;4:04;1999-11-06;2000-04-22;4;51;0:4:04;0 days 00:04:04.000000000;1999-11-06;2000-04-22
969;Case Of The Ex (Whatcha Gonna Do);Mya;Rock;3:50;2000-08-19;2000-12-02;4;47;0:3:50;0 days 00:03:50.000000000;2000-08-19;2000-12-02
970;He Loves U Not;Dream;Rock;3:43;2000-09-30;2000-12-30;4;59;0:3:43;0 days 00:03:43.000000000;2000-09-30;2000-12-30
971;He Wasn't Man Enough;Braxton, Toni;Rock;4:21;2000-03-18;2000-05-06;4;39;0:4:21;0 days 00:04:21.000000000;2000-03-18;2000-05-06
972;You Sang To Me;Anthony, Marc;Latin;3:50;2000-02-26;2000-06-03;4;43;0:3:50;0 days 00:03:50.000000000;2000-02-26;2000-06-03
973;Give Me Just One Night (Una Noche);98¡;Rock;3:24;2000-08-19;2000-09-30;4;26;0:3:24;0 days 00:03:24.000000000;2000-08-19;2000-09-30
974;Jumpin' Jumpin';Destiny's Child;Rock;3:48;2000-05-13;2000-08-19;4;62;0:3:48;0 days 00:03:48.000000000;2000-05-13;2000-08-19
975;Kryptonite;3 Doors Down;Rock;3:53;2000-04-08;2000-11-11;4;67;0:3:53;0 days 00:03:53.000000000;2000-04-08;2000-11-11
976;Thong Song;Sisqo;Rock;4:05;2000-01-29;2000-05-20;4;26;0:4:05;0 days 00:04:05.000000000;2000-01-29;2000-05-20
977;I Turn To You;Aguilera, Christina;Rock;4:00;2000-04-15;2000-07-01;4;28;0:4:00;0 days 00:04:00.000000000;2000-04-15;2000-07-01
978;My Love Is Your Love;Houston, Whitney;Rock;4:16;1999-09-04;2000-01-08;4;16;0:4:16;0 days 00:04:16.000000000;1999-09-04;2000-01-08
979;I Wanna Know;Joe;Rock;4:57;2000-01-01;2000-07-01;4;50;0:4:57;0 days 00:04:57.000000000;2000-01-01;2000-07-01
980;Get It On.. Tonite;Jordan, Montell;Rap;4:34;1999-10-23;2000-02-12;4;69;0:4:34;0 days 00:04:34.000000000;1999-10-23;2000-02-12
981;Bye Bye Bye;N'Sync;Rock;3:15;2000-01-29;2000-04-15;4;14;0:3:15;0 days 00:03:15.000000000;2000-01-29;2000-04-15
982;The Real Slim Shady;Eminem;Rap;4:42;2000-05-06;2000-06-24;4;16;0:4:42;0 days 00:04:42.000000000;2000-05-06;2000-06-24
983;Most Girls;Pink;Rock;4:06;2000-08-12;2000-11-25;4;36;0:4:06;0 days 00:04:06.000000000;2000-08-12;2000-11-25
984;Gotta Tell You;Mumba, Samantha;Rock;3:19;2000-09-09;2000-12-09;4;49;0:3:19;0 days 00:03:19.000000000;2000-09-09;2000-12-09
985;Bring It All To Me;Blaque;Pop;3:46;1999-10-23;2000-01-22;4;42;0:3:46;0 days 00:03:46.000000000;1999-10-23;2000-01-22
986;Hot Boyz;"Elliott, Missy ""Misdemeanor""";Rap;3:51;1999-11-27;2000-01-08;4;9;0:3:51;0 days 00:03:51.000000000;1999-11-27;2000-01-08
987;I Try;Gray, Macy;Rock;3:52;2000-02-19;2000-05-20;4;36;0:3:52;0 days 00:03:52.000000000;2000-02-19;2000-05-20
988;This I Promise You;N'Sync;Rock;4:23;2000-09-30;2000-12-02;4;15;0:4:23;0 days 00:04:23.000000000;2000-09-30;2000-12-02
989;No More;Ruff Endz;Rock;3:56;2000-07-01;2000-09-02;4;17;0:3:56;0 days 00:03:56.000000000;2000-07-01;2000-09-02
990;Show Me The Meaning Of Being Lonely;Backstreet Boys, The;Rock;3:54;2000-01-01;2000-03-18;4;25;0:3:54;0 days 00:03:54.000000000;2000-01-01;2000-03-18
991;Absolutely (Story Of A Girl);Nine Days;Rock;3:09;2000-05-06;2000-07-22;4;52;0:3:09;0 days 00:03:09.000000000;2000-05-06;2000-07-22
992;That's The Way It Is;Dion, Celine;Rock;4:03;1999-11-13;2000-03-04;4;49;0:4:03;0 days 00:04:03.000000000;1999-11-13;2000-03-04
993;All The Small Things;Blink-182;Rock;2:52;1999-12-04;2000-02-19;4;59;0:2:52;0 days 00:02:52.000000000;1999-12-04;2000-02-19
994;Blue (Da Ba Dee);Eiffel 65;Electronica;3:29;1999-12-11;2000-01-29;4;16;0:3:29;0 days 00:03:29.000000000;1999-12-11;2000-01-29
995;Bag Lady;Badu, Erkyah;Rock;5:03;2000-08-19;2000-10-07;4;41;0:5:03;0 days 00:05:03.000000000;2000-08-19;2000-10-07
996;There U Go;Pink;Rock;3:23;2000-03-04;2000-04-08;4;11;0:3:23;0 days 00:03:23.000000000;2000-03-04;2000-04-08
997;Higher;Creed;Rock;5:16;1999-09-11;2000-07-22;4;63;0:5:16;0 days 00:05:16.000000000;1999-09-11;2000-07-22
998;(Hot S**t) Country Grammar;Nelly;Rap;4:17;2000-04-29;2000-09-16;4;76;0:4:17;0 days 00:04:17.000000000;2000-04-29;2000-09-16
999;Wifey;Next;Rock;4:03;2000-05-27;2000-09-09;4;40;0:4:03;0 days 00:04:03.000000000;2000-05-27;2000-09-09
1000;Auld Lang Syne (The Millenium Mix);Kenny G;Jazz;7:50;1999-12-25;2000-01-08;4;8;0:7:50;0 days 00:07:50.000000000;1999-12-25;2000-01-08
1001;It Feels So Good;Sonique;Rock;3:48;2000-01-22;2000-04-22;4;23;0:3:48;0 days 00:03:48.000000000;2000-01-22;2000-04-22
1002;Oops!.. I Did It Again;Spears, Britney;Rock;3:30;2000-04-22;2000-06-10;4;19;0:3:30;0 days 00:03:30.000000000;2000-04-22;2000-06-10
1003;Shape Of My Heart;Backstreet Boys, The;Rock;3:49;2000-10-14;2000-12-02;4;15;0:3:49;0 days 00:03:49.000000000;2000-10-14;2000-12-02
1004;Wonderful;Everclear;Rock;4:30;2000-07-08;2000-09-30;4;37;0:4:30;0 days 00:04:30.000000000;2000-07-08;2000-09-30
1005;Between Me And You;Ja Rule;Rap;4:05;2000-09-16;2000-11-18;4;37;0:4:05;0 days 00:04:05.000000000;2000-09-16;2000-11-18
1006;I Need You;Rimes, LeAnn;Country;3:42;2000-05-27;2000-08-12;4;63;0:3:42;0 days 00:03:42.000000000;2000-05-27;2000-08-12
1007;Then The Morning Comes;Smash Mouth;Rock;3:04;1999-10-30;2000-01-29;4;46;0:3:04;0 days 00:03:04.000000000;1999-10-30;2000-01-29
1008;I Just Wanna Love U (Give It 2 Me);Jay-Z;Rap;3:50;2000-10-28;2000-12-30;4;26;0:3:50;0 days 00:03:50.000000000;2000-10-28;2000-12-30
1009;Let's Get Married;Jagged Edge;Rock;4:23;2000-05-06;2000-07-29;4;45;0:4:23;0 days 00:04:23.000000000;2000-05-06;2000-07-29
1010;Take A Picture;Filter;Rock;4:23;1999-11-27;2000-02-05;4;52;0:4:23;0 days 00:04:23.000000000;1999-11-27;2000-02-05
1011;She Bangs;Martin, Ricky;Latin;4:02;2000-10-07;2000-12-02;4;21;0:4:02;0 days 00:04:02.000000000;2000-10-07;2000-12-02
1012;Shake Ya Ass;Mystikal;Rap;4:46;2000-08-12;2000-10-28;4;41;0:4:46;0 days 00:04:46.000000000;2000-08-12;2000-10-28
1013;Back Here;BBMak;Rock;3:35;2000-04-29;2000-07-29;4;52;0:3:35;0 days 00:03:35.000000000;2000-04-29;2000-07-29
1014;From The Bottom Of My Broken Heart;Spears, Britney;Rock;4:30;2000-01-29;2000-02-26;4;52;0:4:30;0 days 00:04:30.000000000;2000-01-29;2000-02-26
1015;Never Let You Go;Third Eye Blind;Rock;3:57;2000-01-22;2000-04-01;4;24;0:3:57;0 days 00:03:57.000000000;2000-01-22;2000-04-01
1016;Otherside;Red Hot Chili Peppers;Rock;4:13;2000-02-12;2000-05-27;4;52;0:4:13;0 days 00:04:13.000000000;2000-02-12;2000-05-27
1017;Liar;Profyle;R&B;3:57;2000-09-16;2000-10-28;4;17;0:3:57;0 days 00:03:57.000000000;2000-09-16;2000-10-28
1018;Pinch Me;Barenaked Ladies;Rock;3:46;2000-09-09;2000-11-25;4;45;0:3:46;0 days 00:03:46.000000000;2000-09-09;2000-11-25
1019;He Can't Love U;Jagged Edge;Rock;3:30;1999-12-11;2000-01-08;4;17;0:3:30;0 days 00:03:30.000000000;1999-12-11;2000-01-08
1020;Wobble Wobble;504 Boyz;Rap;3:35;2000-04-15;2000-05-06;4;17;0:3:35;0 days 00:03:35.000000000;2000-04-15;2000-05-06
1021;Desert Rose;Sting;Rock;3:52;2000-05-13;2000-08-26;4;59;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-08-26
1022;Big Pimpin';Jay-Z;Rap;3:55;2000-04-22;2000-07-08;4;33;0:3:55;0 days 00:03:55.000000000;2000-04-22;2000-07-08
1023;Only God Knows Why;Kid Rock;Rock;5:27;2000-02-19;2000-04-15;4;39;0:5:27;0 days 00:05:27.000000000;2000-02-19;2000-04-15
1024;Learn To Fly;Foo Fighters;Rock;3:55;1999-10-16;2000-01-22;4;63;0:3:55;0 days 00:03:55.000000000;1999-10-16;2000-01-22
1025;Goodbye Earl;Dixie Chicks, The;Country;4:19;2000-03-18;2000-05-06;4;24;0:4:19;0 days 00:04:19.000000000;2000-03-18;2000-05-06
1026;Dancin';Guy;R&B;4:08;1999-12-18;2000-01-01;4;22;0:4:08;0 days 00:04:08.000000000;1999-12-18;2000-01-01
1027;Bounce With Me;Lil Bow Wow;Rap;3:22;2000-08-19;2000-09-16;4;24;0:3:22;0 days 00:03:22.000000000;2000-08-19;2000-09-16
1028;Swear It Again;Westlife;Rock;4:07;2000-04-01;2000-07-01;4;55;0:4:07;0 days 00:04:07.000000000;2000-04-01;2000-07-01
1029;Meet Virginia;Train;Rock;3:55;1999-10-09;2000-01-22;4;54;0:3:55;0 days 00:03:55.000000000;1999-10-09;2000-01-22
1030;I Wish;Thomas, Carl;Rock;3:50;2000-03-25;2000-05-13;4;39;0:3:50;0 days 00:03:50.000000000;2000-03-25;2000-05-13
1031;This Time Around;Hanson;Country;4:14;2000-04-22;2000-05-06;4;45;0:4:14;0 days 00:04:14.000000000;2000-04-22;2000-05-06
1032;I Think I'm In Love With You;Simpson, Jessica;Pop;3:32;2000-07-01;2000-08-12;4;29;0:3:32;0 days 00:03:32.000000000;2000-07-01;2000-08-12
1033;What's Your Fantasy;Ludacris;Rap;4:16;2000-09-30;2000-12-16;4;55;0:4:16;0 days 00:04:16.000000000;2000-09-30;2000-12-16
1034;Callin' Me;Lil' Zane;Rap;3:43;2000-07-29;2000-09-02;4;40;0:3:43;0 days 00:03:43.000000000;2000-07-29;2000-09-02
1035;Don't Say You Love Me;M2M;Pop;3:41;1999-11-20;2000-01-08;4;46;0:3:41;0 days 00:03:41.000000000;1999-11-20;2000-01-08
1036;Faded;SoulDecision;Rock;3:25;2000-07-08;2000-09-09;4;64;0:3:25;0 days 00:03:25.000000000;2000-07-08;2000-09-09
1037;Yes!;Brock, Chad;Country;3:22;2000-04-08;2000-07-01;4;61;0:3:22;0 days 00:03:22.000000000;2000-04-08;2000-07-01
1038;Shake Your Bon-Bon;Martin, Ricky;Latin;3:08;1999-11-20;2000-02-12;4;39;0:3:08;0 days 00:03:08.000000000;1999-11-20;2000-02-12
1039;You're A God;Vertical Horizon;Rock;3:45;2000-08-26;2000-11-04;4;41;0:3:45;0 days 00:03:45.000000000;2000-08-26;2000-11-04
1040;Separated;Avant;Rock;4:13;2000-04-29;2000-05-20;4;23;0:4:13;0 days 00:04:13.000000000;2000-04-29;2000-05-20
1041;Big Deal;Rimes, LeAnn;Country;3:03;1999-10-16;2000-01-01;4;51;0:3:03;0 days 00:03:03.000000000;1999-10-16;2000-01-01
1042;Stay The Night;IMx;Rap;3:37;1999-10-09;2000-01-08;4;43;0:3:37;0 days 00:03:37.000000000;1999-10-09;2000-01-08
1043;The Next Episode;Dr. Dre;Rap;2:38;2000-05-27;2000-07-29;4;53;0:2:38;0 days 00:02:38.000000000;2000-05-27;2000-07-29
1044;Lucky;Spears, Britney;Rock;3:23;2000-08-12;2000-09-09;4;26;0:3:23;0 days 00:03:23.000000000;2000-08-12;2000-09-09
1045;Crash And Burn;Savage Garden;Rock;4:41;2000-04-08;2000-05-27;4;36;0:4:41;0 days 00:04:41.000000000;2000-04-08;2000-05-27
1046;Don't Think I'm Not;Kandi;Rock;3:50;2000-08-05;2000-10-07;4;61;0:3:50;0 days 00:03:50.000000000;2000-08-05;2000-10-07
1047;I Like It;Sammie;Rock;4:09;2000-01-29;2000-04-15;4;44;0:4:09;0 days 00:04:09.000000000;2000-01-29;2000-04-15
1048;Broadway;Goo Goo Dolls;Rock;3:54;2000-04-22;2000-07-01;4;42;0:3:54;0 days 00:03:54.000000000;2000-04-22;2000-07-01
1049;I Wanna Be With You;Moore, Mandy;Pop;4:12;2000-06-17;2000-08-12;4;50;0:4:12;0 days 00:04:12.000000000;2000-06-17;2000-08-12
1050;Forgot About Dre;Dr. Dre;Rap;3:42;2000-01-22;2000-03-25;4;36;0:3:42;0 days 00:03:42.000000000;2000-01-22;2000-03-25
1051;Untitled (How Does It Feel);D'Angelo;R&B;7:10;2000-01-22;2000-02-19;4;26;0:7:10;0 days 00:07:10.000000000;2000-01-22;2000-02-19
1052;That's The Way;Messina, Jo Dee;Country;3:17;2000-06-24;2000-08-26;4;54;0:3:17;0 days 00:03:17.000000000;2000-06-24;2000-08-26
1053;My First Love;Avant;Rock;4:28;2000-11-04;2000-12-16;4;43;0:4:28;0 days 00:04:28.000000000;2000-11-04;2000-12-16
1054;A Puro Dolor (Purest Of Pain);Son By Four;Latin;3:30;2000-04-08;2000-08-19;4;79;0:3:30;0 days 00:03:30.000000000;2000-04-08;2000-08-19
1055;What'Chu Like;Da Brat;Rap;3:57;2000-06-03;2000-08-12;4;54;0:3:57;0 days 00:03:57.000000000;2000-06-03;2000-08-12
1056;Party Up (Up In Here);DMX;Rap;3:45;2000-02-26;2000-04-22;4;56;0:3:45;0 days 00:03:45.000000000;2000-02-26;2000-04-22
1057;Cowboy Take Me Away;Dixie Chicks, The;Country;4:51;1999-11-27;2000-01-29;4;61;0:4:51;0 days 00:04:51.000000000;1999-11-27;2000-01-29
1058;My Next Thirty Years;McGraw, Tim;Country;3:37;2000-10-21;2000-12-16;4;52;0:3:37;0 days 00:03:37.000000000;2000-10-21;2000-12-16
1059;Best Of Intentions;Tritt, Travis;Country;4:15;2000-08-19;2000-12-02;4;70;0:4:15;0 days 00:04:15.000000000;2000-08-19;2000-12-02
1060;Better Off Alone;Alice Deejay;Electronica;6:50;2000-04-08;2000-06-03;4;48;0:6:50;0 days 00:06:50.000000000;2000-04-08;2000-06-03
1061;Another Dumb Blonde;Hoku;Pop;3:47;2000-02-19;2000-04-08;4;34;0:3:47;0 days 00:03:47.000000000;2000-02-19;2000-04-08
1062;I Learned From The Best;Houston, Whitney;Rock;4:18;2000-02-19;2000-03-25;4;40;0:4:18;0 days 00:04:18.000000000;2000-02-19;2000-03-25
