;rating;title;year;director0;runtime;genres0;actor0;actor1;actor2;actor3;tagline;outline;genres1;genres2;genres3;director1;genres4;genres5;genres6
2070;7.0;Emberatoriet meem;1972.0;Hussein Kamal;;Drama;Faten Hamama;Ahmed Mazhar;Dawlad Abiad;Seif Abol Naga;;"Well off widow working Mother ""Mona"" is struggling raising 6 kids at different ages ranging from elementary school to University graduating students...";Family;;;;;;
2074;6.3;Three Daring Daughters;1948.0;Fred M. Wilcox;6900.0;Musical;Jeanette MacDonald;Jos\xe9 Iturbi;Jane Powell;Edward Arnold;M-G-M's Gay Musical Love Story;"It's Tess' graduation day from ""Miss Drakes School for Girls"". During the choir's performance at the ceremony...";Romance;;;;;;
2076;6.4;Gambler's Choice;1944.0;Frank McDonald;3960.0;Crime;Chester Morris;Nancy Kelly;Russell Hayden;Lee Patrick;ROUGH...TOUGH...TERRIFIC...with life betting on the turn of a card!;The professional gambler Ross Hadley is the owner of a posh gaming establishment in the heart of New York...;Drama;;;;;;
2079;7.3;Law of the Pampas;1939.0;Nate Watt;4320.0;Adventure;William Boyd;Russell Hayden;Sidney Toler;Steffi Duna;Murder below the Equator...and Hopalong races to action in the heart of the wild Pampas country!;Hoppy and Lucky are headed to South America to deliver a herd of cattle. Bad guy Ralph Merritt gets in their way. For a while.;Western;;;;;;
2083;;Prisoner in the Tower of Fire;1953.0;Giorgio Walter Chili;;History;Carlo Giustini;Milly Vitale;Oscar Andriani;Rossano Brazzi;;Italy, 15th century: Marco and Cesco, two youths from rival families are friends but become enemies when they both fall in love with the same girl...;;;;;;;
2085;5.7;Battling for Baby;1992.0;Art Wolff;5400.0;Comedy;Suzanne Pleshette;Debbie Reynolds;Courteney Cox;John Terlesky;;Two rival grandmothers compete over the love of their first grandchild.;Drama;;;;;;
2088;5.2;The Invisible Boy;1957.0;Herman Hoffman;5400.0;Adventure;Richard Eyer;Philip Abbott;Diane Brewster;Harold J. Stone;The science-monster who would destroy the world!;A ten-year-old boy and Robby the Robot team up to prevent a Super Computer from controlling the Earth from a satellite.;Comedy;Family;Sci-Fi;;;;
2094;3.9;Deadly Games;1982.0;Scott Mansfield;5520.0;Horror;Alexandra Morgan;Jo Ann Harris;Sam Groom;Saul Sindell;Only He Will Hear Your Scream!;A town is being terrorized by a masked killer who is murdering women. A young woman is attacked by the killer but escapes...;Mystery;;;;;;
2101;;A Midnight Romance;1919.0;Lois Weber;3600.0;Drama;Anita Stewart;Jack Holt;Edwin B. Tilton;Elinor Hancock;;Marie, a hotel maid, falls in love with millionaire's son Roger, but Roger cannot marry her because...;Romance;;;;;;
2111;4.6;Omen;2003.0;Thammarak Kamuttmanoch;4800.0;Horror;Apichej Kittikornjaroen;Dan Worrawech;Kavee Tanjararak;Supatchaya Reunreung;;A seemingly ordinary day ends up changing the lives of three youngsters: Beem, Dan, and Big, who work in a magazine art department...;Thriller;;;;;;
2113;7.0;The Anonymous Venetian;1970.0;Enrico Maria Salerno;5460.0;Drama;Tony Musante;Florinda Bolkan;Toti Dal Monte;Sandro Grinfan;;A Venetian musician at La Fenice theatre is affected by an incurable disease. By chance he meets his ex-wife who is now living with another man...;Romance;;;;;;
2118;6.1;The Illustrated Man;1969.0;Jack Smight;6180.0;Sci-Fi;Rod Steiger;Claire Bloom;Robert Drivas;Don Dubbins;Don't dare stare at the illustrated man.;The Illustrated Man is classic Bradbury, a collection of eighteen startling visions of humankind's destiny...;;;;;;;
2119;4.8;Mullavalliyum Thenmavum;2003.0;V.K. Prakash;;Drama;Kunchacko Boban;Chaya Singh;Lalu Alex;Srividya;;Shelly and Rajasree are students at fine arts college and they fall in love during college days. Their...;Romance;;;;;;
2122;7.9;Sharpe's Rifles;1993.0;Tom Clegg;6120.0;Action;Sean Bean;Assumpta Serna;Brian Cox;"Malley"" (u";;In the Peninsular War, a British sergeant is field promoted to a lieutenant in charge of a disrespectful rifle company.;Adventure;History;War;;;;
2124;7.5;Les Misérables;1995.0;Claude Lelouch;10500.0;Drama;Jean-Paul Belmondo;Michel Boujenah;Alessandra Martines;Salom\xe9 Lelouch;In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.;A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.;History;;;;;;
2131;3.8;Cathy's Curse;1977.0;Eddy Matalon;5280.0;Horror;Alan Scarfe;Beverly Murray;Randi Allen;Dorothy Davis;She has the power...to terrorize.;A young girl is possessed by the spirit of her dead aunt, who died in a car accident. Soon members of her family begin to mysteriously die off.;;;;;;;
2133;6.9;The Baby of Mâcon;1993.0;Peter Greenaway;7320.0;Drama;Julia Ormond;Ralph Fiennes;Philip Stone;Jonathan Lacey;;A movie about the corruption in all levels of society. A baby is born from a supposed-to-be virgin woman...;History;;;;;;
2135;;Mera Yaar Mera Dushman;1987.0;;;Musical;Beena Banerjee;Ardhendu Bose;Mithun Chakraborty;Ramesh Deo;;Frame By Frame of a Murder Plot , unraveled by a boxing champion , played by Mithun , who is the brother of Ramesh Deo ,the Union Leader killed.;;;;;;;
2140;6.4;So I Married an Axe Murderer;1993.0;Thomas Schlamme;5580.0;Comedy;Mike Myers;Nancy Travis;Anthony LaPaglia;Amanda Plummer;The Honeymoon Was Killer;A San Francisco poet who fears commitment suspects his girlfriend may not be who she appears.;Romance;;;;;;
2141;6.5;Olsenbanden og Dynamitt-Harry på sporet;1977.0;Knut Bohwim;5880.0;Comedy;Arve Opsahl;Carsten Byhring;Sverre Holm;Harald Heide-Steen Jr.;;Olsenbanden har slått seg ned som multimillionærer i Spania. Den avslappede tilværelsen får imidlertid...;Crime;;;;;;
2142;6.4;Bowfinger;1999.0;Frank Oz;5820.0;Comedy;Steve Martin;Eddie Murphy;Heather Graham;Christine Baranski;A desperate plan for a desperate man;When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him.;;;;;;;
2143;5.7;Deadly Family Secrets;1995.0;Richard T. Heffron;7200.0;Drama;Loni Anderson;Gigi Rice;Greg Evigan;Barry Corbin;;A woman returns to her Texas home town after a 15 year absence and witness a man killed. She then discovers that the killer may have a connection to her.;;;;;;;
2145;6.0;Madrid en el año 2000;1925.0;Manuel Noriega;;Sci-Fi;Roberto Rey;Javier de Rivera;Amalia Sanz Cruzado;Roberto Iglesias;Madrid have a canal to the sea! Dream or reality?;A fantasy depicting Madrid in the distant (for 1925) future when the city has become a port thanks to...;;;;;;;
2146;2.7;Frozen Scream;1975.0;Frank Roach;5100.0;Horror;Renee Harmon;Lynne Kocol;Wolf Muser;Thomas McGowan;Who's there?;Mad scientists turn people into frozen zombies and the zombies wreak havoc and kill people.;;;;;;;
2148;4.7;Dr. Jekyll and Mr. Hyde;2000.0;Colin Budds;6300.0;Horror;Adam Baldwin;Steve Bastoni;Anthony Brandon Wong;Jason Chong;;The Hong Kong martial arts version of Jekyll and Hyde, with Hyde as the mythical fighting champion known as the White Tiger battling the Triads, drug trafficking and illegal organ transplants.;Thriller;Action;;;;;
2152;6.5;Chrystal;2004.0;Ray McKinnon;6360.0;Crime;Lisa Blount;Billy Bob Thornton;Kamron Ross Stacey;David Rhodes;Life is hard. Love is simple.;Twenty years after the accident that claimed his son's life and permanently injured his wife, a man returns to his home in search of redemption.;Drama;;;;;;
2156;7.5;Zelyonyy furgon;1983.0;Aleksandr Pavlovskiy;8100.0;Drama;Dmitriy Kharatyan;Borislav Brondukov;Aleksandr Demyanenko;Aleksandr Solovyov;;It is 1920. After three years of the Russian Civil War, communist government is finally established in Odessa...;;;;;;;
2157;;Born in May;1968.0;In-hyeon Choi;;Drama;Sung-il Shin;Jeong-im Nam;Am Park;Eun-jin Han;;Both father and son work towards modernizing and rebuilding their nation. The father runs a cement company and seeks to develop industry...;;;;;;;
2158;5.0;Into His Arms;1999.0;Michael Linn;4560.0;Drama;Marcia Welch-Kahler;Joel King;Travis Opdyke;Marc Linn;;A family is shattered when seven-year-old Jennifer disappears while she and her mother are shopping.;;;;;;;
2161;;The Light of Western Stars;1925.0;William K. Howard;5400.0;Drama;Jack Holt;Billie Dove;Noah Beery;Alma Bennett;;"Cowhand Gene Stewart (Jack Holt) spends much of his time as a drunk and disorderly ""two-gun rowdy""...";Western;;;;;;
2172;;Enchanting Temptation;1992.0;Tae-chang Park;5400.0;Drama;Seong-su Kim;Bi-a So;Seon-hie Ju;;;Su-kyeong winds up in a mental institution after being emotionally abused by the handsome Chong-il. Her siblings devise a plan to ruin her tormenter and leave him destitute before killing him in revenge;;;;;;;
2176;8.2;The Macahans;1976.0;Bernard McEveety;7140.0;Western;James Arness;Eva Marie Saint;Bruce Boxleitner;Kathryn Holcomb;;Zeb Macahan, a pioneering westerner, help's move his brother's family to the wild west. They run into...;;;;;;;
2180;6.2;This Was Pancho Villa;1957.0;Ismael Rodr\xedguez;5400.0;Action;Pedro Armend\xe1riz;Mar\xeda Elena Marqu\xe9s;Carlos L\xf3pez Moctezuma;Humberto Almaz\xe1n;;The disembodied head of Pancho Villa, kept in a glass jar in a research institute, is the narrator of several short stories from his own life, stories that might or might not have happened but are the stuff of legend.;Adventure;Drama;War;;;;
2181;4.6;The Squeaker;1930.0;Edgar Wallace;5400.0;Crime;Percy Marmont;Anne Grey;Gordon Harker;Trilby Clark;;A detective poses as an ex-convict to expose the head of a benevolent society as a fence.;Drama;Mystery;Thriller;;;;
2183;7.4;El mismo amor, la misma lluvia;1999.0;Juan Jos\xe9 Campanella;6780.0;Comedy;Ricardo Dar\xedn;Soledad Villamil;Ulises Dumont;Eduardo Blanco;;Cuenta la historia de Jorge Pellegrini y Laura Ramallo a lo largo de casi dos décadas. Comienza en 1980 y termina en nuestros días...;Drama;Romance;;;;;
2186;6.4;The Marshal of Mesa City;1939.0;David Howard;3720.0;Western;"Brien"" (u";Virginia Vale;Leon Ames;Henry Brandon;GEORGE O'BRIEN in a drama of the dangerous West of old!!;School teacher Virginia King, annoyed by the unwanted attentions from Mesa City sheriff Jud Cronin, resigns and departs for Yuma...;;;;;;;
2189;6.3;Die Spinnen, 2. Teil - Das Brillantenschiff;1920.0;Fritz Lang;6240.0;Adventure;Carl de Vogt;Ressel Orla;Georg John;Rudolf Lettinger;;"Kay Hoog wants to stop the organisation ""Die Spinnen"" to get a certain diamond, that will give the owning woman the crown of Asia...";;;;;;;
2191;7.2;Three Ages;1923.0;Edward F. Cline;3780.0;Comedy;Buster Keaton;Margaret Leahy;Wallace Beery;Joe Roberts;A Metro Picture in 6 Parts;The misadventures of Buster in three separate historical periods.;;;;Buster Keaton;;;
2194;6.3;A Woman of Experience;1931.0;Harry Joe Brown;4440.0;Drama;Helen Twelvetrees;William Bakewell;Lew Cody;Zasu Pitts;;It is 1915 in Vienna and the Great War has caused many casualties. Elsa decides to answer the patriotic appeals and help by working in the hospital...;Romance;;;;;;
2196;6.8;Ivaylo;1964.0;Nikola Valchev;5160.0;Adventure;Bogomil Simeonov;Ginka Stancheva;Tzvyatko Nikolov;Ivan Bratanov;;Bulgaria. 13th century. The people, driven to utter despair, rise in arms. They elect Ivaylo - a poor peasant but gifted military commander...;Drama;;;;;;
2199;5.7;Sharada;1981.0;Lekh Tandon;;Drama;Jeetendra;Rameshwari;Sarika;Raj Babbar;;Inder Malhotra (Jeetendra) is a hardworking Executive in an organization, and is due for a promotion from his boss...;Family;;;;;;
2202;6.6;Arizona Whirlwind;1944.0;Robert Emmett Tansey;3540.0;Western;Ken Maynard;Hoot Gibson;Bob Steele;Ian Keith;Hoot's A Human Cyclone...Ken's A One-Man Tornado!;US marshals Ken, Hoot and Bob stop a gang dressed as Indians from robbing the stage. After getting repairs at the relay station...;;;;;;;
2203;3.8;The Red Right Hand;2001.0;Mike Gioscia;4920.0;Horror;Abigail Morgan;Marc Ardito;Michael Kevin Walker;Edmund Lyndeck;;A gang of school friends are reunited years after finishing their education. However, the happy celebration soon descends into nightmare as memories of a dark deed threaten to engulf them all.;;;;Kurt St. Thomas;;;
2209;5.8;Monday to Sunday;1968.0;Helvio Soto;4800.0;Comedy;Patricia Guzm\xe1n;Jorge Guerra;Maruja Cifuentes;Anita Klesky;;Starts a love story between an art student and a medical student, narrated from Monday to Sunday.;Drama;;;;;;
2212;;Adam Bede;1918.0;Maurice Elvey;3600.0;Crime;Bransby Williams;Ivy Close;Malvina Longfellow;Gerald Ames;;A squire's grandson saves a farmer's niece from the charge of murdering her bastard baby.;Drama;;;;;;
2216;5.6;The Amorous Mr. Prawn;1962.0;Anthony Kimmins;5340.0;Comedy;Ian Carmichael;Joan Greenwood;Cecil Parker;Dennis Price;;General and Lady Fitzadam live at a remote army outpost in Scotland, their last assignment before the General retires...;;;;;;;
2220;6.1;The Catamount Killing;1974.0;Krzysztof Zanussi;5580.0;Crime;Horst Buchholz;Ann Wedgeworth;Chip Taylor;Louise Caire Clark;Leave the children home--and if you are squeamish, stay home with them!;A banker troubled by both business and personal problems is transferred to a small town. There he meets and seduces an older woman. Together, they decide to pull off a payroll holdup together.;Drama;;;;;;
2223;5.0;1996: Pust på meg!;1997.0;Eva Dahr;;Drama;Miguel Amador;Stina Ekblad;Jan Gr\xf8nli;Frits Helmuth;;The place is Oslo, the time is a day in April 1996. Four stories are lived out in the confinement of a flat in the heart of the city...;;;;Oddvar Einarson;;;
2224;6.3;Superman Flies Again;1954.0;George Blair;4620.0;Action;George Reeves;Noel Neill;Jack Larson;John Hamilton;;"Compilation of 3 episodes of the ""Adventures of Superman"" TV show: episodes #30 (""Jet Ace""), #35 (""The Dog Who Knew Superman"")...";Fantasy;Sci-Fi;;Thomas Carr;;;
2225;6.2;Track of Thunder;1967.0;Joseph Kane;4980.0;Action;Tommy Kirk;Ray Stricklyn;H.M. Wynant;Brenda Benet;Punch It...And GO!;Rivals on the raceway--for publicity purposes only (but secretly buddies). Then they fall in love with the same woman--and the rivalry on the raceway becomes very real...;Drama;;;;;;
2228;5.3;The Trial of Lee Harvey Oswald;1964.0;Larry Buchanan;5880.0;Drama;George R. Russell;George Edgley;Arthur Nations;Charles Mazyrack;Not a Newsreel...A Full Length Motion Picture, Filmed Secretly in Dallas;A film that speculates how Lee Harvey Oswald's trial may have played out had he not been killed by Jack Ruby.;;;;;;;
2231;7.5;Arnold's Wrecking Co.;1973.0;Steven E. de Souza;4680.0;Comedy;Barbara Hencheck;Sandy Zeitler;Ted Atlof;Hardee Mintzer;"The ""DOPIEST"" comedy of all time.";A student tries pot for the first time, loves it and decides to distribute it in a big business kind of way. Soon he has the police and the mafia on his tail.;;;;;;;
2242;7.2;Death Valley Gunfighter;1949.0;R.G. Springsteen;3600.0;Action;Allan Lane;Black Jack;Eddy Waller;James Nolan;RIDE, 'ROCKY,' RIDE! THERE'S TROUBLE ON THE TRAIL TO DEATH VALLEY! One smash thrill after another as a fiery mine war breaks out in the West! (original poster);Rocky Lane (Allan Lane) hits the trail when he gets word that one of two brothers in a partner-ship...;Adventure;Romance;Western;;;;
2246;5.6;Goliath and the Sins of Babylon;1963.0;Michele Lupo;4800.0;Action;Mark Forest;Jos\xe9 Greci;Giuliano Gemma;Erno Crisa;Nights of Pleasure...Days of Terror!;Goliath battles for the freedom of the Babylonian people.;Adventure;Drama;Romance;;;;
2247;6.9;Ghost Chasers;1951.0;William Beaudine;4140.0;Comedy;Leo Gorcey;Huntz Hall;Lloyd Corrigan;Lela Bliss;THEIR ANTICS ARE ENOUGH TO SCARE A GHOST RIGHT OUT OF HIS SHEET!;A ghost helps the Bowery Boys capture a gang of crooks led by a mad doctor.;;;;;;;
2265;4.5;Never Too Late;1935.0;Bernard B. Ray;3180.0;Crime;Richard Talmadge;Thelma White;Robert Frazer;Mildred Harris;;A young man gets mixed up with a stolen necklace and a gang of ruthless jewel thieves.;Drama;;;;;;
2266;7.2;The Code Conspiracy;2002.0;Hank Whetstone;5820.0;Action;Jim Fitzpatrick;Maria Conchita Alonso;David Warner;Lou Rawls;A code that foretells the greatest prophecies of all time...Protected by the faith of one man.;What if a computer disc held a code so powerful that it could change the world forever? While translating the Dead Sea Scrolls...;Mystery;Thriller;;;;;
2270;4.5;Jan Amos Comenius;1983.0;Otakar V\xe1vra;8820.0;Drama;Ladislav Chud\xedk;Jana Brezinov\xe1;Marta Vancurov\xe1;Zuzana Cig\xe1nov\xe1;;The dramatic story of Jan Amos Comenius, a 17th century Christian hero and a testimony of the persistence of Christian courage.;;;;;;;
2278;6.7;A Lady to Love;1930.0;Victor Sj\xf6str\xf6m;5520.0;Drama;Vilma B\xe1nky;Edward G. Robinson;Robert Ames;Richard Carle;;Middle-aged Napa Valley grape-grower Tony posts a marriage proposal to San Francisco waitress Lena enclosing...;Romance;;;;;;
2279;7.1;Marriage and Other Four Letter Words;1974.0;Richard Robinson;3660.0;Adult;Rainbow Robbins;Jon Roy Jones;Pete Krump;Brigitte Maier;It's Been a Long, Hot Honeymoon... And The Fun Is Just Beginning!;Can a young and restless married couple find sexual satisfaction living in the suburbs? Desperate, they finally decide to expand their horny horizons...;Drama;;;;;;
2282;6.1;Mendy;2003.0;Adam Vardy;5400.0;Drama;Deana Barone;Elizabeth Cano;Kristen Cecala;Spencer Chandler;"Mendy, a Hassidic Jew from Brooklyn, learns to live in the secular and seemingly ""sinful"" world of Manhattan.";Mendy is a young Brookyln Hasid who leaves the strict rules of his insular and repressive community to join his childhood friend...;;;;;;;
2283;6.7;Op stap;1935.0;Ernst Winar;4680.0;Comedy;Fien de la Mar;Philip Dorn;Adolphe Engers;Jopie Koopman;;Janus Fortuin is a goodhearted piano tuner who has accepted that he will never amount to anything more...;Musical;;;;;;
2284;6.2;Enter Madame!;1935.0;Elliott Nugent;4980.0;Comedy;Elissa Landi;Cary Grant;Lynne Overman;Sharon Lynn;;Man marries opera singer, winds up taking back seat to her career.;Romance;;;;;;
2309;;It'll Be Alright on the Christmas Night;1987.0;;;;;;;;;;;;;;;;
2311;;The Concert;1921.0;Victor Schertzinger;3600.0;Comedy;Lewis Stone;Myrtle Stedman;Raymond Hatton;Mabel Julienne Scott;;A concert pianist, the romantic idol of many women, is seduced away from his wife. The seductress's husband takes in the pianist's wife...;Romance;;;;;;
2320;6.5;Osso, Amor e Papagaio;1957.0;Carlos Alberto de Souza Barros;6120.0;Comedy;Mario Alimari;Geraldo Ambr\xf3sio;Jos\xe9 Bucci;F\xe1bio Cardoso;;Scientist announces he has discovered a chemical process to turn human bones into gold. The news starts a frantic chase for human bones, with people going to cemeteries in droves.;;;;C\xe9sar Memolo;;;
2324;5.7;The Virgin of Lust;2002.0;Arturo Ripstein;9060.0;Drama;Luis Felipe Tovar;Ariadna Gil;Patricia Reyes Sp\xedndola;Juan Diego;Él la amaba. Ella sólo quería matar a Franco;In Vera Cruz in the 1940s, Nacho, an Indian, waits tables at Don Lázaro's café at Hotel Ofélia. He falls for Lola...;Fantasy;Romance;;;;;
2326;4.8;Karate Girl;1974.0;Orhan Aksoy;4380.0;Action;Filiz Akin;Ediz Hun;B\xfclent Kayabas;Hayati Hamzaoglu;;Zeynep lives with his old father. She has lost her ability to speak because of an accident. She needs an operation in order to be able to talk again...;Crime;Drama;Thriller;;;;
2330;8.1;Rocky;1976.0;John G. Avildsen;7200.0;Drama;Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;You have a ringside seat for the bloodiest bicentennial in history!;Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.;Sport;;;;;;
2331;7.0;Henry & Verlin;1996.0;Gary Ledbetter;5220.0;Drama;Gary Farmer;Keegan MacIntosh;Nancy Beatty;Robert Joy;;Verlin is 9 years old and does not talk, nor does he even seem to hear. Henry, a child-like adult, befriends Verlin and pulls him from his shell...;;;;;;;
2333;4.3;Rattled;1996.0;Tony Randel;5400.0;Thriller;William Katt;Shanna Reed;Michael Galeota;Monica Lacy;The enemy is pure poison.;"A horde of rattlesnakes inexplicably descends into ""Eden Valley,"" terrorizing an isolated family and forcing them to fight for their lives.";Horror;;;;;;
2334;;Unfulfilled Love;1968.0;Gu Park;4440.0;Drama;Jin Kyu Kim;Jeong-im Nam;Hie Mun;Jeung-nyeo Ju;;After her mother dies, Jung-hie goes to Seoul to live with her father and his family. He allows her to stay with the condition that she never reveals that he is her father.;;;;;;;
2340;6.5;The Last Mile;1932.0;Samuel Bischoff;4500.0;Crime;Howard Phillips;Preston Foster;George E. Stone;Noel Madison;The Season's Dramatic Thunderbolt! From the Play that Rocked the Nation!;Richard Walters is condemned to death for a murder he claims not to have committed. He arrives on death...;Drama;;;;;;
2343;5.4;Blood of the Samurai;2001.0;Aaron Yamasato;4500.0;Action;Bryan Yamasaki;Shawn Forsythe;Michael Ng;Colleen Fujioka;Prepare to Battle;Two friends are overcome with the spirit of the samurai warrior after unearthing a pair of mythical...;Adventure;Comedy;Fantasy;;;;
2353;7.0;The Last Journey;1936.0;Bernard Vorhaus;3960.0;Drama;Godfrey Tearle;Hugh Williams;Judy Gunn;Mickey Brantford;;Bob Holt's last journey as a Railway engine driver before his retirement, a journey disturbed by his distress at leaving the Railway...;Crime;;;;;;
2358;5.3;Corregidor;1943.0;William Nigh;4380.0;Drama;Otto Kruger;Elissa Landi;Donald Woods;Frank Jenks;28 days of epic heroism - that shook the world!;A doctor and his staff in a hospital on the Philippine island of Corregidor shortly after the Japanese attack on Pearl Harbor try to treat the sick, injured and wounded as American and Filipino troops desperately try to beat back a ferocious Japanese attack.;War;;;;;;
2359;7.3;Schwarz und weiß wie Tage und Nächte;1978.0;Wolfgang Petersen;6180.0;Drama;Bruno Ganz;Gila von Weitershausen;Ren\xe9 Deltgen;Ljuba Tadic;;A scientist who swore off playing chess after a nervous breakdown as a boy wunderkind, creates an undefeated chess program...;;;;;;;
2360;7.0;Justino;1994.0;Santiago Aguilar;5760.0;Comedy;Saturnino Garc\xeda;Juanjo Puigcorb\xe9;Carlos Lucas;Alicia Hermida;;Justino was working in a bull-ring but now he is retired. For him it is very difficult to adapt to the...;Drama;;;Luis Guridi;;;
2361;7.2;Squaring the Circle;1984.0;Mike Hodges;;Drama;Jonathan Adams;John Antrobus;Peter Bayliss;John Bluthal;;"An account of how Lech Walesa and the ""Solidarity"" trade union confronted the might of Communist dictatorship in Poland.";;;;;;;
2365;5.8;Demain et tous les jours après;2001.0;Bernard Stora;6300.0;Adventure;Edouard Baer;H\xe9l\xe8ne Filli\xe8res;Bakary Sangar\xe9;Liliane Rov\xe8re;;In Africa, two occidentals, a man and a woman, with totaly different minds, are obliged to make a long trip together in a cab.;;;;;;;
2369;6.0;Parlor, Bedroom and Bath;1931.0;Edward Sedgwick;4380.0;Comedy;Buster Keaton;Charlotte Greenwood;Reginald Denny;Cliff Edwards;The real laugh panic of the year - he's a ladies' man. (ad cut).;A man tries passing off a socially awkward fellow as a Casanova in the hopes of marrying off his would be sister-in-law.;;;;;;;
2373;5.4;L'âge d'or;1942.0;Jean de Limur;5100.0;;;;;;;;;;;;;;
2380;2.5;The Capture of Bigfoot;1979.0;Bill Rebane;5520.0;Adventure;Janus Raudkivi;Randolph Rebane;Stafford Morgan;Katherine Hopkins;;A series of killings occur, with no suspects, the locals soon decide that Bigfoot is responsible.;Horror;Sci-Fi;Drama;;;;
2386;5.7;The Indestructible;1959.0;Jean Boyer;5040.0;Comedy;Darry Cowl;Line Renaud;Michel Galabru;Ren\xe9 Havard;;"Augustin Robustal and his wife Lilane run the riverside café ""Au joyeux gardon"" and if the ""gardon"" (roach) is happy...";;;;;;;
2391;7.5;Are You Listening?;1932.0;Harry Beaumont;4380.0;Drama;William Haines;Madge Evans;Anita Page;Karen Morley;;A radio announcer accidentally kills his wife, then leads an on-air hunt for her killer.;;;;;;;
2402;6.2;Beyond the Call;1996.0;Tony Bill;6060.0;Drama;Sissy Spacek;David Strathairn;Arliss Howard;Janet Wright;;Russell Gates is a Vietnam vet on death row for killing a policeman. His childhood sweetheart, Pam O'Brien...;;;;;;;
2410;;Riders of the Pony Express;1949.0;Michael Salle;3600.0;Western;Ken Curtis;Shug Fisher;Cathy Douglas;Billy;Re-Capture The Thrills Of The Pony Express Days!;In a rigged gunfight Tom Blake is forced to shoot a man in self defense and is then hunted for murder...;;;;;;;
2411;6.7;Love Field;1992.0;Jonathan Kaplan;6120.0;Drama;Michelle Pfeiffer;Dennis Haysbert;Stephanie McFadden;Brian Kerwin;Her life began when her world fell apart.;Dallas housewife Lurene Hallett's life revolves around the doings of Jacqueline Kennedy. She is devastated...;;;;;;;
2427;6.8;Whistling in Brooklyn;1943.0;S. Sylvan Simon;5220.0;Comedy;Red Skelton;Ann Rutherford;Jean Rogers;Rags Ragland;HE'S WHISTLING AGAIN! Red's newest is his funniest! (original print ad);"Radio crime show host ""The Fox"" finds himself on the trail of a serial killer while a suspect himself.";Crime;Mystery;Romance;;;;
2443;5.7;Sea Devils;1953.0;Raoul Walsh;5460.0;Action;Yvonne De Carlo;Rock Hudson;Maxwell Reed;"Dea"" (u";Six-Feet-Four of fighting Man ... to Tame a Wildcat Beauty !;Gilliat,a fisherman/smuggler is in jail, and is offered a pardon, if he undertakes a mission to sail to France to rescue Douchette, an English agent, whose cover has been blown,and who has now been jailed. Gilliat accepts the challenge.;Adventure;Drama;History;;;;
2448;7.1;The Day After;1983.0;Nicholas Meyer;7200.0;Drama;Jason Robards;JoBeth Williams;Steve Guttenberg;John Cullum;The day before.  The day of.  The Day After.;A graphic, disturbing film about the effects of a devastating nuclear holocaust on small-town residents of eastern Kansas.;Sci-Fi;;;;;;
2461;6.7;The Two Gun Man;1931.0;Phil Rosen;3480.0;Western;Ken Maynard;Tarzan;Lucille Powers;Charles King;Gun Wise And Girl Shy - Until He Met Joan Markham, With Tawny Skin An Hair That The Western Sun Had Kissed Until It Gleamed;Hired guns threaten ranchers.;;;;;;;
2464;7.5;Interesting Men;2003.0;Yuriy Kara;6000.0;Drama;Natalya Ivanova-Fenkina;Nikolay Kochegarov;Igor Lagutin;Sergey Nikonenko;;Life in a 19th century Russian town is focused on a group of wealthy Cavalry officers, who are enjoying their 'life in style'...;Musical;;;;;;
2467;;Easy Lover;1989.0;A.H. Lawrence;5520.0;Adult;Robert Bullock;Stacy Lords;Arcie Miller;Raven Richards;;"Unfaithful executive has problems at office and home, where his wife finds out about his escapades. He leaves her back home and treats himself to some sexual ""vacations"" on a hut.";;;;;;;
2473;5.8;The Steel Jungle;1956.0;Walter Doniger;5160.0;Crime;Perry Lopez;Beverly Garland;Walter Abel;Ted de Corsia;Gang rule behind bars!;A power struggle emerges among convicts condemned to prison life.;Drama;Film-Noir;;;;;
2478;6.5;Blue Canadian Rockies;1952.0;George Archainbaud;3480.0;Music;Gene Autry;Champion;Gail Davis;Carolina Cotton;GENE GETS VERY, VERY RUDE WHEN THEY TAKE HIM FOR A DUDE!;With the goal of preventing his daughter from marrying, Autry's boss sends him to Canada where she has started a dude ranch and wild game preserve.;Western;;;;;;
2490;7.1;Rani snijeg u Münchenu;1984.0;Bogdan Zizic;5400.0;Drama;Drago Grgecic;Pavle Vuisic;Ute Fiedler;Uwe G\xfcrtler;;A Croatian guest worker who worked in Germany for many years, builds a house and a workshop for his 20 year old son back in their country of origin...;;;;;;;
2492;;Kostana;1962.0;Jovan Konjovic;;Drama;Ljubinka Bobic;Meri Boskova;Predrag Ceramilac;Milena Dapcevic;;First-ever TV adaptation of the Bora Stankovic drama, the most staged play in the history of Serbian theatre...;;;;;;;
2493;7.3;Bagets;1984.0;Maryo J. De Los Reyes;;Comedy;William Martinez;Herbert Bautista;J.C. Bonnin;Raymond Lauchengco;;Experiencing the forbidden. Experiencing rejection. Hating your parents. Hating the world around you...;Drama;Romance;;;;;
