;rating;title;year;director0;runtime;genres0;genres1;actor0;actor1;actor2;actor3;tagline;outline;genres2;genres3;director1;genres4;genres5
510;5.7;Law Beyond the Range;1935.0;Ford Beebe;3600.0;Western;;Tim McCoy;Robert Allen;Billie Seward;Guy Usher;;Tim is dismissed from the Rangers for letting his friend Kane who is accused of murder escape. When newspaper editor Alexander dies...;;;;;
511;4.2;Zoom;2006.0;Peter Hewitt;4980.0;Action;Adventure;Tim Allen;Courteney Cox;Chevy Chase;Spencer Breslin;They're going to save the world . . . as long as they're home for dinner;Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private Academy.;Family;Sci-Fi;;;
517;5.7;Forever Yours;1945.0;William Nigh;4980.0;Drama;;Gale Storm;C. Aubrey Smith;Johnny Mack Brown;Conrad Nagel;Heart-warming, human and delightful!;"A young woman who has been stricken with infantile paralysis gives up hope and is trying to ""will herself"" to die. A doctor who has been conducting experiments with patients with paralyzed nerves is convinced he can cure her.";;;;;
523;5.1;Our Burden Is Light;2000.0;Denise Coates;5340.0;Drama;Romance;Karl Alvarez;Jessica Ballard;Robert Bisetti;Abe Brenann;Sometimes destiny has a way of finding us;Karen Moone is a needy woman with an unfaithful boyfriend that is completely miserable after the suicide of her mother...;;;;;
525;6.6;Act of Love;1953.0;Anatole Litvak;6480.0;Drama;War;Kirk Douglas;Dany Robin;Barbara Laage;Gabrielle Dorziat;WANTED for desertion! WANTED for questioning!...WANTING only each other!;A former soldier on holiday in the French Riviera recalls his time in France during WWII, and his love for a French peasant woman.;Romance;;;;
528;6.8;Self Defense;1983.0;Paul Donovan;5040.0;Crime;Drama;Tom Nardini;Brenda Bazinet;Daryl Haney;Terry-David Despr\xe9s;Fight crime. Shoot back!;During a police strike in Nova Scotia's capital city, a gang of hoodlums end up unintentionally causing the owner of a gay bar to be killed. This escalates into a string of murders with a lone survivor trying to not be next.;Thriller;;"Connell"" (u";;
529;6.0;The Healer;1935.0;Reginald Barker;4560.0;Drama;;Ralph Bellamy;Karen Morley;Mickey Rooney;Judith Allen;THE FACE ALL AMERICA HAS LEARNED TO LOVE! (reissue poster);A young doctor running a health farm for polio victims is dazzled by a pretty and wealthy society girl, to the detriment of his patients and the woman who really loves him.;;;;;
530;6.0;Jag rodnar;1981.0;Vilgot Sj\xf6man;6300.0;Comedy;;Bibi Andersson;Bing Fabregas;Larry Hagman;Gunnar Hellstr\xf6m;;"A film director travels to the Philippines to find the perfect environment for his new production. He is inspired by Coppolas ""Apocalypse Now"". At the same time, casting is done elsewhere in the world.";;;;;
546;7.7;Amaanat;1955.0;Aravind Sen;;Drama;Family;Bharat Bhushan;Chand Usmani;Pran;Nasir Hussain;;A dying man entrusts his lives earnings to Purshotam, a stranger he just met, and asks him to promise to take this money to his wife...;;;;;
548;4.7;Hercules Against the Sons of the Sun;1964.0;Osvaldo Civirani;5280.0;Adventure;;Mark Forest;Anna-Maria Pace;Giuliano Gemma;\xc1ngela Rhu;;Hercules is rescued by Prince Maytha and his warriors. Athualpa, King of the Incas, is to sacrifice Princess Yamara to the Sun God. Hercules must save her and defeat the King.;;;;;
550;4.5;Warriors of the Wasteland;1983.0;Enzo G. Castellari;5460.0;Action;Romance;Giancarlo Prete;Fred Williamson;George Eastman;Anna Kanakis;It's the end of the earth as we know it!;Two mercenaries help wandering caravans fight off an evil and aimless band of white-clad bikers after the nuclear holocuast.;Sci-Fi;Thriller;;;
552;6.7;Ezo yakata no ketto;1970.0;Kengo Furusawa;7860.0;Action;;Y\xfbz\xf4 Kayama;Rentar\xf4 Mikuni;Sh\xf4go Shimada;Mitsuko Baish\xf4;;1864. Samurai Shinbei is sent in a secret mission to Ezo, in the North of Japan, to stop riots of villagers commanded by Jirozaemon. A Russian count's daughter, the village leader's daughter and a secret treasure add up to the adventure.;;;;;
558;5.8;On the Line;1997.0;Elodie Keene;5760.0;Crime;Drama;Linda Hamilton;Jeff Fahey;Jay Acovone;Coolio;A cop on the edge takes on a brutal teenage gang!;A female police detective tries to track down a gang of teenage bank robbers while dealing with sexual harassment on the job, and her troubled home life.;;;;;
562;7.0;Date with Death;1959.0;Harold Daniels;5040.0;Crime;;Gerald Mohr;Liz Renay;Robert Clarke;Stephanie Farnay;More Shocking in the New PSYCHO-RAMA Subliminal Process;A Hobo thrown off a train assumes the identity of a big-city police detective, found by him dead, and is assigned to rid an isolated desert town of big-time racketeers.;;;;;
569;6.4;The Games;1970.0;Michael Winner;6000.0;Drama;Sport;Michael Crawford;"Neal"" (u";Charles Aznavour;Jeremy Kemp;The spectacle behind the spectacle.;Four marathon runners (one from England, one from the U.S., a Czech and an Australian Aborigine) prepare to run in the Olympic games. The film follows each one and shows what their motivations are for running in the games.;;;;;
571;6.4;Sunday;2002.0;Charles McDougall;6540.0;Drama;;Ciar\xe1n McMenamin;Barry Mullan;Paul Campbell;Julieann Campbell;;Sunday tells the story of an infamous day in Derry/Londonderry, Northern Ireland and how the events...;;;;;
572;;The Woman Who Wanted an Apartment;1970.0;In-yeob Jeong;6000.0;;;;;;;;;;;;;
573;6.2;Opium;1919.0;Robert Reinert;6720.0;Drama;;Eduard von Winterstein;Sybill Morel;Werner Krauss;Friedrich K\xfchne;;A Chinese opium dealer takes revenge on Westerners who have corrupted his wife.;;;;;
574;6.4;Hammerhead;1987.0;Enzo G. Castellari;5400.0;Action;;Daniel Greene;Melonee Rodgers;Jorge Gil;Donna Rosea;;A detective's hunt for the man who murdered his friend takes him to the Caribbean, where he finds himself enmeshed in a web of corruption and murder.;;;;;
588;6.1;The Shadow Man;1953.0;Richard Vernon;4560.0;Crime;Drama;Cesar Romero;Kay Kendall;Edward Underdown;Victor Maddern;Every step he took led him to Murder and a woman !;Small-time Soho hustler gets caught up in the murder of an ex-girl friend, evades the police and finally helps them to corner the real murderer.;Film-Noir;;;;
592;6.5;Los chicos de la guerra;1984.0;Bebe Kamin;6300.0;Drama;War;Gustavo Belatti;Gabriel Rovito;Leandro Reg\xfanaga;Tina Serrano;;An Argentinian movie that describes how their soldiers felt about fighting in the Folklands War.;;;;;
603;3.6;Double Dragon;1994.0;James Yukich;5760.0;Action;Adventure;Robert Patrick;Mark Dacascos;Scott Wolf;Kristina Wagner;Evil has just met its match.;Two brothers have half of a powerful ancient Chinese talisman. An evil gang leader has the other half, and determines to get the brothers' half and have a complete medallion so he can gain absolute power.;Comedy;Sci-Fi;;;
607;6.3;What Price Glory;1952.0;John Ford;6660.0;Comedy;Drama;James Cagney;Corinne Calvet;Dan Dailey;William Demarest;The Glory Story of Them All!;The wartime romantic misadventures of Captain Flagg, commander of a company of US Marines in 1918 France.;Musical;Romance;;War;
613;7.0;Bizet's Dream;1994.0;David Devine;3180.0;Music;Drama;Maurice Godin;Brittany Madgett;Catherine Barroll;Yseult Lendvai;;A 12 year old Parisian girl takes piano lessons from composer Georges Bizet and becomes captivated by his story of the gypsy Carmen.;Family;;;;
620;7.1;Joseph's Gift;1998.0;Philippe Mora;5640.0;Drama;;Freddy Rodr\xedguez;Brion James;Robert Townsend;John Saxon;;Joseph is the youngest member of a large family that owns a successful garment business in Los Angeles...;;;;;
621;5.4;Evil Has a Face;1996.0;Rob Fresco;5880.0;Drama;Thriller;Sean Young;William R. Moses;Joe Guzaldo;Brighton Hertford;In the mind of a child lies the face of a killer.;A talented young female police sketch artist uses her abilities to track down an evil child molester.;;;;;
625;6.1;Tarakanova;1930.0;Raymond Bernard;;Drama;;\xc9dith J\xe9hanne;Paule Andral;Olaf Fjord;Rudolf Klein-Rogge;;Emperess Catherine II wants to get rid of Princess Elisabeth Tarakanova who is to replace her on the throne of Russia...;;;;;
626;7.3;Massholes;2000.0;John Chase;;Comedy;;Desmond Harrington;Steven Moreno;Peter Simmons;Milo Ventimiglia;;A day in the life of four Massachusetts high schoolers.;;;;;
627;6.6;You Laugh;1998.0;Paolo Taviani;5940.0;Drama;;Antonio Albanese;Giuseppe Cederna;Luca Zingaretti;Dario Cantarelli;;Two segments: In the first one Felice, a baritone who has had to give up his career because of a heart...;;;Vittorio Taviani;;
631;5.2;The Dalton Gang;1949.0;Ford Beebe;3480.0;Action;Western;Red;Robert Lowery;James Millican;Greg McClure;Outlaw Hunt!... for the most daring bad men of a dangerous era...;Deputy Marshall Larry West goes undercover to find out who has been terrorizing the territory, Navajos or the Dalton Gang.;;;;;
632;6.7;Yrrol - En kolossalt genomtänkt film;1994.0;Peter Dalle;5280.0;Comedy;;Suzanne Reuter;Ulla Skoog;Peter Dalle;Claes M\xe5nsson;;An ancient Greek philosopher's comical vision of how life in present day Sweden will play out.;;;;;
634;5.1;Oh, God! Book II;1980.0;Gilbert Cates;5640.0;Comedy;Fantasy;George Burns;Suzanne Pleshette;David Birney;Louanne;That's right, I made another movie. You know me, I can't stop creating.;God asks a young girl to help spread his word and influence with a slogan.;;;;;
635;5.1;Mole Men Against the Son of Hercules;1961.0;Antonio Leonviola;5700.0;Adventure;Drama;Mark Forest;Moira Orfei;Paul Wynter;Gianni Garko;;Maciste arranges for himself and his new friend Bangor to be captured by a mysterious band of white-clad marauders and taken to an underground city...;Fantasy;Romance;;;
637;7.8;Darvo bez koren;1974.0;Christo Christov;5160.0;Drama;;Nikola Dadov;Nevena Kokanova;Marin Yanev;Nikolay Kedev;;Having remained alone in his village house, old Gatyo must move in with his son and daughter-in-law in their flat in the city...;;;;;
638;6.4;Quinto año nacional;1961.0;Rodolfo Blasco;5340.0;Comedy;;Santiago G\xf3mez Cou;Alberto Bello;Oscar Casco;Pablo Racioppi;;This movie was based on a TV series popular in Argentina at that time dealing with the adventures of high school seniors.;;;;;
640;7.0;Kicking and Screaming;1995.0;Noah Baumbach;5760.0;Comedy;Drama;Josh Hamilton;Eric Stoltz;Samuel Gould;Catherine Kellner;Anxiety loves company.;After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing...;Romance;;;;
652;;El harén de Aníbal;2002.0;Enric Navarro;;Drama;;Pilar Almer\xeda;Josep Manel Casany;Alicia Escurriola;Pepa Juan;;Aníbal Cortés, age 65, advertises for a wife, but the three different woman who respond have rather different backgrounds and rather different expectations as to how to satisfy Aníbal's proposition.;;;Enrique Navarro;;
656;5.1;Shadow of a Stranger;1992.0;Richard Friedman;5280.0;Action;Thriller;Emma Samms;Parker Stevenson;Michael Easton;John Pyper-Ferguson;;Ted and Sarah Clinton notice a boat being violently hurled around by a storm just off their beach-house and go out to help the occupants...;;;;;
658;7.6;Firesign Theatre: Weirdly Cool;2001.0;Matthew Diamond;;Comedy;;Philip Austin;Peter Bergman;David Ossman;Phil Proctor;;The renowned comedy troupe, the Firesign Theatre, perform material from their first four albums and their latest CD live on stage from CBS studios.;;;;;
665;7.2;Ticket to Heaven;1981.0;Ralph L. Thomas;6480.0;Drama;;Nick Mancuso;Saul Rubinek;Meg Foster;Kim Cattrall;Becoming one of them is your Ticket to Heaven;David is a young man seduced by a religious cult that uses starvation, exhaustion, and brainwashing...;;;;;
673;5.1;Aas;1953.0;Devendra Goel;;Romance;;Kamini Kaushal;Shekhar;Om Prakash;Gulab;;Widower Ashok lives a wealthy lifestyle in Bombay, India, along with his son, Kishore, his paternal aunt...;;;;;
675;;Na startu je delfín;1975.0;Jarom\xedr Borek;6600.0;;;;;;;;;;;;;
680;6.6;Party Party;1983.0;Terry Winsor;6000.0;Comedy;;Daniel Peacock;Karl Howman;Perry Fenwick;Sean Chapman;;Its New Years Eve and Larry is having a party at his parents house. - only his parents don't know as they are out at the social club party...;;;;;
683;6.8;Sunnyside Up;1929.0;David Butler;7260.0;Comedy;Musical;Janet Gaynor;Charles Farrell;Marjorie White;El Brendel;The screen's first original all talking, singing, dancing musical comedy. (Posters).;Molly and Bee, sweet young 'working girls,' live in a cheap room over a New York grocery store. Molly's idol...;;;;;
684;5.4;Confessions of a Sexist Pig;1998.0;Sandy Tung;5460.0;Comedy;;Edward Kerr;Traylor Howard;Lauren Graham;Michael Trucco;;A daytime soap opera star has to deal with his sexist ideas when he falls for his new co-star, a woman who seemingly follows his manly ideas about dating.;;;;;
688;;The Pauper Millionaire;1922.0;Frank Hall Crane;;Comedy;;C.M. Hallard;Katherine Blair;John H. Roberts;Norma Whalley;;A millionaire is robbed, mistaken for a crook, and forced to work for a living.;;;;;
693;5.7;Due cuori fra le belve;1943.0;Giorgio Simonelli;4980.0;Comedy;;Tot\xf2;Vera Carmi;Enrico Glori;Nando Bruno;;Totò fa il professore di danza classica ed è innamorato di Laura, figlia del famoso antropologo Berti...;;;;;
705;7.2;The Devil's Eye;1960.0;Ingmar Bergman;5220.0;Comedy;Drama;Jarl Kulle;Bibi Andersson;Stig J\xe4rrel;Nils Poppe;He Came...He Saw...She Conquered!;The devil has a stye in his eye, caused by the purity of a vicar's daughter. To get rid of it, he sends...;Fantasy;;;;
722;;Stranded;1965.0;Juleen Compton;5400.0;Drama;;Juleen Compton;Gary Collins;Alkis Yannakas;;;A woman's life story is recalled with each step she takes toward the ocean...the last steps of her life.;;;;;
724;6.2;Apology for Murder;1945.0;Sam Newfield;4020.0;Crime;Drama;Ann Savage;Hugh Beaumont;Russell Hicks;Charles D. Brown;"""I brushed you off because I couldn't be bothered with you any more...you didn't have what it takes to go through with something...you won't involve me in any murder rap...you've said all that you'll ever say!"" (original poster)";Reporter Kenny Blake (Hugh Beaumont) falls in love with scheming Toni Kirkland ('Ann Savage') not...;Film-Noir;;;;
731;7.2;A Day with Conrad Green;1980.0;;3600.0;Drama;;Fred Gwynne;David Garrison;Julia Campanelli;;;A Broadway producer copes with a busy schedule on the day of his assistant's funeral.;;;;;
732;6.7;Dragonslayer;1981.0;Matthew Robbins;6540.0;Action;Adventure;Peter MacNicol;Caitlin Clarke;Ralph Richardson;John Hallam;IN THE DARK AGES DRAGONS WERE REAL. [USA theatrical];A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.;Fantasy;;;;
736;6.8;Yeh Nazdeekiyan;1982.0;Vinod Pande;;Drama;Romance;Marc Zuber;Shabana Azmi;Parveen Babi;Mala Jaggi;;Sunil Verma is the head of an advertising agency, and lives with a middle-class life with his wife, Shobna...;;;;;
742;6.6;The She-Wolf;1951.0;Maria Plyta;4860.0;Drama;Romance;Aleka Katselli;Andreas Zisimatos;Anthi Miliadi;Giannis Argyris;;Loukia is a proud young woman, a descendant of a family which, thanks to a lingering vendetta, has almost died out...;;;;;
743;5.8;Changes;2003.0;Lukasz Barczyk;4560.0;Drama;;Maja Ostaszewska;Jacek Poniedzialek;Katarzyna Herman;Aleksandra Konieczna;;Adrian plans to marry Wanda and, with that intention, visits his fiancee's family house by the lake. Tensions rise when he is faced not only with Wanda's sisters but also with their mother's expectations.;;;;;
751;6.4;The Price of the Bride;1990.0;Tom Clegg;5820.0;Action;Thriller;Mike Farrell;Peter Egan;Robert Foxworth;Diana Quick;;After a KGB agent defects to the US, the CIA has the job of not only taking from him his dowry of information (ie...;;;;;
752;6.6;Champions;1984.0;John Irvin;6360.0;Biography;Drama;John Hurt;Gregory Jones;Mick Dillon;Ann Bell;A true story [International];The true story of Bob Champion, a British steeple chase jockey who, in the late 1970s, was diagnosed with cancer...;Romance;Sport;;;
758;;Triumph of Love;1929.0;William Dieterle;;;;;;;;;;;;;;
761;7.6;Dossier 51;1978.0;Michel Deville;6480.0;Crime;Drama;Fran\xe7ois Marthouret;Claude Marcault;Philippe Rouleau;Nathalie Juvet;Your repairman is one of them. Your cleaning lady is one of them. Your wife's lover is one of them. Behind them all is a secret network that controls your life.;An unnamed French intelligence service spies on and analyzes a French diplomat code name '51' to identify a method to control him.;;;;;
762;7.8;Otoko wa tsurai yo: Boku no ojisan;1989.0;Y\xf4ji Yamada;6540.0;Comedy;;Kiyoshi Atsumi;Chieko Baish\xf4;Kumiko Goto;Hidetaka Yoshioka;;The well-intentioned, kind-hearted, and somewhat awkward but always lovable Tora-san makes one of his...;;;;;
772;;Xue jian hua ping;1986.0;Qicang Zhang;;Mystery;;Chongliang Sun;Shuqing Wang;Wen Sheng Wang;Qian Wun;;A magistrate investigates 2 apparently unrelated crimes.;;;;;
773;7.1;The Big Steal;1949.0;Don Siegel;4260.0;Crime;Film-Noir;Robert Mitchum;Jane Greer;William Bendix;Patric Knowles;Mitchum is HOT! - HOT...off location in the heart of Mexico...HOT...after a girl with a million-dollar figure!...HOT...at the nation's boxoffices...HOT...in his newest picture!;An army lieutenant accused of robbery pursues the real thief on a frantic chase through Mexico aided by the thief's fiancee.;Romance;Thriller;;;
774;5.2;Kung Fu Fever;1979.0;Shi-hyeon Kim;4800.0;Action;Drama;Dragon Lee;Min Kyu Choi;Ron Van Clief;Amy Chum;;Shortly after his death, friends and enemies of Bruce Lee search for his unpublished final book.;;;;;
781;4.4;Time Tracers;1997.0;Bret McCormick;6060.0;Sci-Fi;;Rocky Patterson;Dorenda Moore;Tyler Mason;Jeffrey Combs;A chase through time...;When the discovery of a five-thousand year old artifact of a humanoid reptile leads an investigative reporter to the Kronos Project...;;;;;
782;7.3;Walkabout;1996.0;M. David Melvin;5880.0;Comedy;;Brent Florence;Tyme Jasso-Luper;Lisa Koch;Kenny Luper;;Seven high school graduates set out into the Southern California wilderness on a church sponsored survival program...;;;;;
787;5.5;All'ultimo sangue;1968.0;Paolo Moffa;6540.0;Western;;Craig Hill;Ettore Manni;Giovanni Cianfriglia;Jos\xe9 Greci;;An army payroll is robbed by Billy Gun. The Army hires Clive Norton to recover the money. To help him...;;;;;
792;;Eugene Aram;1914.0;Edwin J. Collins;;Crime;Drama;Jack Leigh;Mary Manners;John Sargent;Stewart Patterson;;A respected scholar is blackmailed by his ex-partner in robbery and is executed for a crime he did not commit.;;;;;
796;6.5;Terrible Joe Moran;1984.0;Joseph Sargent;7200.0;Drama;;James Cagney;Art Carney;Ellen Barkin;Peter Gallagher;;A wheelchair-bound, former boxer deals with his long estranged granddaughter whom is seeking financial help for her writing career and helping her loser boyfriend get out of debt with the local mob.;;;;;
800;6.9;The Girl in Blue;1973.0;George Kaczender;5940.0;Drama;;David Selby;Maud Adams;Gay Rowan;William Osler;Would he ever really find her? Had she ever really existed?;Scott, a smug Montreal lawyer, searches for the girl of his dreams whom he met briefly four summers previously...;;;;;
808;8.2;The World's Greatest Monster;2003.0;Goran Rusinovic;4320.0;Drama;;Goran Susljik;Mirta Haramina;Slobodan Milovanovic;Ivica Vidovic;;Kingdom of Yugoslavia. As soon as she was born, Stana had both hands bit off by a pig, but she still grows to be good embroiderer...;;;;;
813;6.9;The Nightwatch;1989.0;Danny Boyle;3000.0;Thriller;;James Cosmo;Tony Doyle;Michael Feast;Don Fellows;;Dark and Brooding thriller. A group of mercenaries are assembled in Amsterdam by a British intelligence officer...;;;;;
823;6.9;Sin Town;1942.0;Ray Enright;4380.0;Western;;Constance Bennett;Broderick Crawford;Patric Knowles;Anne Gwynne;TOUGHER THAN THE BARBARY COAST1...Fortunes made at the Spin of a drill...and lost at the spit of a gun! (original poster);Two con artists arrive in a western boom town that they think is ripe for the pickings, only to get swindled themselves.;;;;;
824;4.6;Gayracula;1983.0;Roger Earl;3780.0;Adult;Comedy;Tim Kramer;Steve Collins;Rand Remington;Randal Butler;He'll suck you dry!;Count Drac is back - and this time he's sucking more than just necks! Count Gaylord stalks the streets of L.A. for the hunkiest victims to ever succumb to lust, as well as his enemy, the Marquis de Suede.;Horror;;;;
826;8.1;Magic Jersey;1998.0;Kristoffer Tabori;;Family;Fantasy;Michael Galeota;Courtnee Draper;Brett Miller;Carrie Phenix;;It's about a group of kids who loves sports and they find an old jersey that allows them to go back in time to play in past sports events.;Sport;;Hank Saroyan;;
829;7.5;The Seller;1997.0;Craig Schlattman;6780.0;Comedy;Drama;Brian Brophy;Arthur Roberts;Kathy Polishuk;Adam Paul;Some times it's the trip.  Sometimes it's the destination.  Friends to the end.;A diminutive brat befriends the man who has just killed her parents, then promises to deliver her to...;;;;;
839;7.5;The Clock;1945.0;Vincente Minnelli;5400.0;Drama;Romance;Judy Garland;Robert Walker;James Gleason;Keenan Wynn;Every second a heart-beat;Soldier Joe Allen is on a two-day leave in New York, and there he meets Alice. She agrees to show him the sights and they spend the day together...;;;;;
848;6.2;Mulholland Falls;1996.0;Lee Tamahori;6420.0;Crime;Drama;Nick Nolte;Melanie Griffith;Jennifer Connelly;Chazz Palminteri;This isn't America, this is Los Angeles;In 1950's Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.;Mystery;Thriller;;;
850;6.7;El aliento del diablo;1993.0;Paco Lucio;5400.0;Adventure;Drama;Aleksandr Kaydanovskiy;Valentina Vargas;Fernando Guill\xe9n;Tito Valverde;;In the Middle Ages, Damián, a mute hunter, dreams of a better place than the one he has been living in with his family...;;;;;
855;6.6;My Face Red in the Sunset;1961.0;Masahiro Shinoda;4920.0;Drama;;Y\xfbsuke Kawazu;Shima Iwashita;Kayoko Honoo;Fumio Watanabe;;A young journalist turns to an assassin for help when a team of hired killers comes gunning for her.;;;;;
859;5.0;Love Bites;2001.0;Antoine de Caunes;5700.0;Horror;Mystery;Guillaume Canet;Asia Argento;G\xe9rard Lanvin;Gilbert Melki;;Antoine is a social wannabe who drops an elusive aristocrat's name to get into an exclusive party. The name...;Thriller;;;;
861;7.2;Novye priklyucheniya kapitana Vrungelya;1978.0;Gennadiy Vasilev;5280.0;Adventure;Family;Mikhail Pugovkin;Zurab Kapianidze;Vladimir Basov;Saveliy Kramarov;;New adventures of Captain Vrungel, his mate Lom and ship-boy Vasiliy Lopotukhin.;;;;;
876;6.7;Fighting with Kit Carson;1933.0;Colbert Clark;15000.0;Western;;Johnny Mack Brown;Betsy King Ross;Noah Beery;Noah Beery Jr.;;A pack train led by Kit Carson is attacked by Kraft and his Mystery Riders, who want a government shipment of gold carried by the wagons...;;;Armand Schaefer;;
886;6.6;Murph the Surf;1975.0;Marvin J. Chomsky;6060.0;Biography;Comedy;Robert Conrad;Don Stroud;Donna Mills;Robyn Millan;The True Story of Two Miami Playboys Who Liked the Girls and the Good Life Enough to Turn Con Men and Pull Off the Biggest Job in History! And the Cops Knew It, But Couldn't Do a Thing About It!;Based on a true story, details the daring 1964 theft of the J.P. Morgan jewel collection from New York's American Museum of Natural History...;Crime;Drama;;;
887;6.7;Federal Man-Hunt;1938.0;Nick Grinde;3180.0;Crime;Drama;Robert Livingston;June Travis;John Gallaudet;Charles Halton;;By a daring ruse and inside help, Pete Rennick, a noted criminal behind bars on federal charges, escapes from the prison...;Romance;;;;
896;4.9;Outside Chance;1978.0;Michael Miller;7200.0;Drama;Thriller;Yvette Mimieux;Royce D. Applegate;Beverly Hope Atkinson;Susan Batson;She went to jail innocent. And came out a murderer.;A young woman accused of murdering the jailer who raped her, escapes from jail and becomes a fugitive.;Crime;;;;
899;7.6;Blood Wedding;1981.0;Carlos Saura;4020.0;Music;;Antonio Gades;Cristina Hoyos;Juan Antonio Jim\xe9nez;Carmen Villena;;Group of dancers put Lorca's 'Blood Wedding' on stage, the tragic play about a married man who is still in love with his ex girlfriend, and tries to get back to her despite her planned wedding.;;;;;
904;6.0;The Sheriff;1959.0;Roberto Bianchi Montero;;Comedy;Western;Tina Pica;Ugo Tognazzi;Livio Lorenzon;Tino Scotti;;A gang of outlaws terrorizes Rio Ciuccio (literally Rio Donkey). They even kill the sheriff but his wife, an old neapolitan lady, takes his place.;;;;;
905;5.6;Coyote Ugly;2000.0;David McNally;6000.0;Comedy;Drama;Piper Perabo;Adam Garcia;John Goodman;Maria Bello;The Party Never Ends.;Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.;Music;Romance;;;
910;5.6;Smarty;1934.0;Robert Florey;3900.0;Comedy;;Joan Blondell;Warren William;Edward Everett Horton;Frank McHugh;;Vicki Wallace (Joan Blondell) takes great pleasure in teasing her husband,Tony Wallace (Warren William)...;;;;;
921;6.4;Between Men;1935.0;Robert N. Bradbury;3600.0;Western;;Johnny Mack Brown;Beth Marion;William Farnum;Earl Dwire;In search of a buried past!;When his young son is shot, John Wellington kills the culprit and flees. But his son Johnny recovers and is raised by Sir George...;;;;;
924;3.9;Caught in the Headlights;2005.0;Gavin Wilding;;Action;Thriller;Erika Eleniak;Kim Coates;Brigitta Dau;Stacy Keach;;A federal agent, Kate Parker arrives in a small rural town to extradite Claire Scott, a young woman suspected of murdering a government scientist...;;;;;
927;5.6;Patrick Still Lives;1980.0;Mario Landi;5520.0;Crime;Drama;Sacha Pito\xebff;Gianni Dei;Mariangela Giordano;Carmen Russo;;"A bedridden psycho is able to receive evil ""vibrations"" from hardened criminals and use them for his telekinetic powers.";Horror;Mystery;;Thriller;
930;4.7;Catch Me If You Can;1998.0;Jeffrey Reiner;5520.0;Action;Comedy;Tim Matheson;Ryan DeBoer;Carol Alt;William Katt;More than just a game.;When a 12 year old boy (Ryan de Boer) with an attitude witnesses a mob killing, the job of protecting him falls to a down-on-his luck cop (Tim Matheson).;Crime;Family;;Thriller;
932;6.3;Rainbow Trout;1999.0;Jong-won Park;6000.0;Drama;Thriller;Soo-yeon Kang;In-sung Hwang;Kyung-gu Sol;In-kwon Kim;;A group of city dwellers make a trip of three days and two nights into the isolated countryside to visit a friend in the hills...;;;;;
934;5.2;Fluctuations;1970.0;Joel Landwehr;4200.0;Fantasy;;Sondra Bender;Eric Carlson;Larry Carto;Mary Drydock;;A bizarre don't-even-try-to-make-sense-of-it bombardment of sexual imagery that plays like stream of consciousness from a degenerate: threesomes...;;;;;
935;7.1;Gunning for Justice;1948.0;Ray Taylor;3300.0;Western;;Johnny Mack Brown;Raymond Hatton;Max Terhune;Evelyn Finley;SIX-GUN ROUNDUP!! (original ad - all caps);After Johnny breaks up a gunfight, the dying man gives him a map of the location of hidden gold bullion and tells him to give it to Ed...;;;;;
938;6.8;Cosa fácil;1982.0;Alfredo Gurrola;6900.0;Action;Crime;Pedro Armend\xe1riz Jr.;Julissa;Ernesto G\xf3mez Cruz;Juan Pel\xe1ez;;This is a story of revenge, as detective Chayne's own clients sabotage his actions, and leave him blind in one eye. The cases then become personal and Chayne vows to destroy the guilty.;Drama;Mystery;;Thriller;
954;5.5;Big Calibre;1935.0;Robert N. Bradbury;3480.0;Action;Mystery;Bob Steele;Peggy Campbell;Forrest Taylor;John Elliott;;Intent on avenging his father's murder, Roy Neal and his sidekick Rusty find themselves in the border...;Romance;Western;;;
958;6.0;Mystery of Marie Roget;1942.0;Phil Rosen;3660.0;Drama;Mystery;Patric Knowles;Maria Montez;Maria Ouspenskaya;John Litel;Thrill to the mystery-master's most amazing story! Steel-clawed terror ravaging a shuddering city. (Newspaper ad cut).;A detective tries to unravel the strange circumstances surrounding the death of a young actress.;;;;;
960;6.2;The Phantom President;1932.0;Norman Taurog;4680.0;Comedy;Musical;George M. Cohan;Claudette Colbert;Jimmy Durante;George Barbier;It's nonsense and - I love it!;"Too bad for presidential hopes of banker T.K. Blair; his party feels he has too little flair for savoir faire...";;;;;
962;7.1;Schizopolis;1996.0;;5760.0;Comedy;Fantasy;Steven Soderbergh;Miles Hardy;Scott Allen;Betsy Brantley;Come early! Come often!;Fletcher Munson, the lethargic employee of a pseudo-religious self help company, and his doppelganger, the friendly but dull dentist Dr. Jeffrey Korchek.;Mystery;;;;
965;;Valley of Hate;1924.0;Russell Allen;3780.0;Drama;;Raymond McKee;Helen Ferguson;Earl Metcalfe;Wilfred Lucas;;A wealthy young man in South Carolina inherits property in a valley he has never seen. He goes there...;;;;;
970;5.8;Drums in the Deep South;1951.0;William Cameron Menzies;5220.0;Drama;History;James Craig;Barbara Payton;Guy Madison;Barton MacLane;A handful of heroes on a powder-keg mountain !;Two old friends find themselves on opposite sides during the Civil War in a desperate battle atop an impregnable mountain.;Romance;War;;Western;
